State_Agency_or_Indian_Tribal_Organization,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,Average_Participation
Connecticut,9894.0,9789.0,9553.0,9697.0,9578.0,9825.0,9868.0,10044.0,10086.0,10004.0,10202.0,10140.0,9890.0
Maine,3443.0,3377.0,3437.0,3538.0,3508.0,3593.0,3612.0,3696.0,3693.0,3694.0,3674.0,3629.0,3574.5
Massachusetts,24168.0,23985.0,24108.0,24434.0,24516.0,24880.0,24716.0,25157.0,24995.0,24832.0,24987.0,24787.0,24630.416666666668
New Hampshire,2455.0,2465.0,2436.0,2481.0,2442.0,2511.0,2465.0,2573.0,2554.0,2491.0,2432.0,2323.0,2469.0
New York,87354.0,87723.0,87621.0,88606.0,88277.0,90684.0,90147.0,91340.0,90937.0,90338.0,91252.0,91205.0,89623.66666666667
Rhode Island,3645.0,3671.0,3657.0,3784.0,3775.0,3979.0,3952.0,3969.0,3999.0,3976.0,3930.0,3963.0,3858.3333333333335
Vermont,2199.0,2190.0,2185.0,2161.0,2145.0,2170.0,2157.0,2162.0,2168.0,2186.0,2163.0,2191.0,2173.0833333333335
Virgin Islands,628.0,622.0,612.0,610.0,610.0,623.0,617.0,630.0,655.0,652.0,655.0,651.0,630.4166666666666
"Indian Township, ME",19.0,8.0,6.0,7.0,8.0,12.0,13.0,16.0,16.0,16.0,13.0,14.0,12.333333333333334
"Pleasant Point, ME",9.0,6.0,7.0,8.0,11.0,12.0,12.0,11.0,14.0,14.0,15.0,13.0,11.0
Northeast Region,133814.0,133836.0,133622.0,135326.0,134870.0,138289.0,137559.0,139598.0,139117.0,138203.0,139323.0,138916.0,136872.75
Delaware,3886.0,3916.0,4041.0,4072.0,4103.0,4237.0,4134.0,4270.0,4229.0,4304.0,4265.0,4307.0,4147.0
District of Columbia,2565.0,2583.0,2639.0,2727.0,2742.0,2826.0,2829.0,2931.0,2959.0,2992.0,3081.0,3055.0,2827.4166666666665
Maryland,28799.0,28405.0,27984.0,28179.0,28117.0,28542.0,28376.0,28733.0,28417.0,28201.0,28086.0,28070.0,28325.75
New Jersey,34376.0,34596.0,34583.0,35457.0,35768.0,36601.0,36561.0,36756.0,36533.0,36046.0,35855.0,35038.0,35680.833333333336
Pennsylvania,36917.0,36350.0,35835.0,36489.0,37162.0,38613.0,38580.0,39398.0,39331.0,38462.0,39266.0,38896.0,37941.583333333336
Puerto Rico,18479.0,18353.0,17581.0,16247.0,17398.0,18740.0,18629.0,19138.0,19136.0,18741.0,18415.0,19286.0,18345.25
Virginia,24896.0,24521.0,24333.0,24794.0,24374.0,25454.0,25864.0,26348.0,26175.0,25725.0,25513.0,24545.0,25211.833333333332
West Virginia,7164.0,7112.0,7134.0,7302.0,7260.0,7456.0,7456.0,7527.0,7592.0,7625.0,7690.0,7638.0,7413.0
Mid-Atlantic Region,157082.0,155836.0,154130.0,155267.0,156924.0,162469.0,162429.0,165101.0,164372.0,162096.0,162171.0,160835.0,159892.66666666666
Alabama,24327.0,24148.0,24266.0,24681.0,24358.0,25009.0,24762.0,25438.0,25295.0,25252.0,25712.0,25637.0,24907.083333333332
Florida,97942.0,96059.0,95493.0,96745.0,97558.0,99577.0,99500.0,100045.0,100230.0,98588.0,97216.0,95952.0,97908.75
Georgia,40206.0,40993.0,42050.0,45256.0,46886.0,48904.0,49624.0,50470.0,50801.0,50761.0,51177.0,51140.0,47355.666666666664
Kentucky,23090.0,23280.0,23149.0,23666.0,23753.0,23939.0,23777.0,24001.0,24169.0,23940.0,22498.0,22022.0,23440.333333333332
Mississippi,12502.0,13403.0,13345.0,13599.0,13999.0,14318.0,13818.0,14224.0,14313.0,14414.0,14613.0,14355.0,13908.583333333334
North Carolina,57605.0,57131.0,57149.0,57960.0,58054.0,60122.0,58479.0,59545.0,59031.0,58510.0,52746.0,52085.0,57368.083333333336
South Carolina,19642.0,19725.0,19522.0,20063.0,20347.0,21159.0,21158.0,21138.0,21030.0,20538.0,20731.0,20788.0,20486.75
Tennessee,30023.0,29995.0,29944.0,31324.0,31751.0,32966.0,32500.0,33390.0,33278.0,33312.0,33827.0,33240.0,32129.166666666668
"Choctaw Indians, MS",167.0,178.0,172.0,164.0,170.0,167.0,149.0,155.0,153.0,150.0,150.0,152.0,160.58333333333334
"Eastern Cherokee, NC",102.0,107.0,100.0,105.0,100.0,109.0,102.0,114.0,104.0,102.0,88.0,92.0,102.08333333333333
Southeast Region,305606.0,305019.0,305190.0,313563.0,316976.0,326270.0,323869.0,328520.0,328404.0,325567.0,318758.0,315463.0,317767.0833333333
Illinois,36642.0,36020.0,35650.0,36865.0,36869.0,37815.0,37709.0,37998.0,38009.0,37899.0,38340.0,38033.0,37320.75
Indiana,31375.0,31404.0,31284.0,31986.0,32222.0,33339.0,32848.0,33291.0,33280.0,33146.0,33369.0,33213.0,32563.083333333332
Iowa,12943.0,12927.0,12831.0,11775.0,11803.0,12066.0,12114.0,12204.0,12274.0,12063.0,12377.0,12395.0,12314.333333333334
Michigan,40900.0,40777.0,40336.0,41009.0,40757.0,41322.0,41065.0,41026.0,41195.0,41000.0,40908.0,40209.0,40875.333333333336
Minnesota,22048.0,22124.0,22115.0,22487.0,22582.0,23154.0,22962.0,23083.0,23058.0,22842.0,22684.0,22162.0,22608.416666666668
Ohio,39519.0,39880.0,39425.0,40570.0,40911.0,41395.0,41734.0,42330.0,42341.0,42026.0,42314.0,41930.0,41197.916666666664
Wisconsin,17092.0,17363.0,17358.0,17870.0,17774.0,18074.0,18119.0,18388.0,18559.0,18544.0,18750.0,18571.0,18038.5
Midwest Region,200519.0,200495.0,198999.0,202562.0,202918.0,207165.0,206551.0,208320.0,208716.0,207520.0,208742.0,206513.0,204918.33333333334
Arizona,28340.0,28161.0,27993.0,28202.0,27988.0,28516.0,28280.0,28658.0,28879.0,28813.0,29449.0,29216.0,28541.25
Arkansas,13646.0,14716.0,14918.0,14159.0,14978.0,15647.0,15342.0,15614.0,15798.0,15425.0,15795.0,15407.0,15120.416666666666
Louisiana,24131.0,23739.0,23468.0,24541.0,24921.0,25274.0,24959.0,25712.0,26232.0,26127.0,26422.0,26183.0,25142.416666666668
New Mexico,8889.0,8792.0,8641.0,8870.0,8978.0,9246.0,9148.0,9285.0,9273.0,9261.0,9440.0,9339.0,9096.833333333334
Oklahoma,16130.0,16388.0,16163.0,16582.0,16801.0,17118.0,17573.0,17902.0,18144.0,17928.0,17888.0,17728.0,17195.416666666668
Texas,201098.0,201222.0,198797.0,201790.0,203842.0,209135.0,210043.0,213922.0,215305.0,214709.0,216204.0,211480.0,208128.91666666666
Utah,9200.0,9306.0,9312.0,8869.0,9079.0,9347.0,9339.0,9437.0,9427.0,9409.0,9784.0,10587.0,9424.666666666666
"Inter-Tribal Council, AZ",1260.0,1218.0,1212.0,1177.0,1172.0,1158.0,1126.0,1146.0,1185.0,1158.0,1074.0,1081.0,1163.9166666666667
"Navajo Nation, AZ",947.0,920.0,924.0,944.0,910.0,920.0,926.0,922.0,935.0,963.0,960.0,960.0,935.9166666666666
"Acoma, Canoncito & Laguna, NM",60.0,58.0,58.0,61.0,58.0,55.0,54.0,62.0,62.0,61.0,66.0,68.0,60.25
"Eight Northern Pueblos, NM",42.0,45.0,53.0,62.0,60.0,55.0,56.0,56.0,62.0,70.0,68.0,70.0,58.25
"Five Sandoval Pueblos, NM",20.0,22.0,23.0,24.0,27.0,27.0,29.0,30.0,33.0,34.0,32.0,35.0,28.0
"Isleta Pueblo, NM",196.0,193.0,196.0,204.0,219.0,224.0,228.0,241.0,247.0,232.0,240.0,235.0,221.25
"San Felipe Pueblo, NM",38.0,34.0,30.0,39.0,43.0,37.0,38.0,40.0,42.0,46.0,46.0,47.0,40.0
"Santo Domingo Tribe, NM",24.0,25.0,28.0,29.0,29.0,29.0,32.0,27.0,28.0,25.0,22.0,23.0,26.75
"Zuni Pueblo, NM",87.0,96.0,104.0,86.0,96.0,90.0,91.0,102.0,109.0,104.0,104.0,103.0,97.66666666666667
"Cherokee Nation, OK",1089.0,1121.0,1111.0,1156.0,1187.0,1247.0,1310.0,1335.0,1392.0,1520.0,1629.0,1693.0,1315.8333333333333
"Chickasaw Nation, OK",729.0,723.0,726.0,749.0,741.0,770.0,770.0,810.0,816.0,818.0,863.0,864.0,781.5833333333334
"Choctaw Nation, OK",967.0,984.0,987.0,988.0,1018.0,1013.0,1021.0,1034.0,1031.0,1008.0,1047.0,1016.0,1009.5
"Citizen Potawatomi Nation, OK",254.0,257.0,263.0,275.0,267.0,277.0,286.0,291.0,313.0,318.0,304.0,321.0,285.5
"Inter-Tribal Council, OK",109.0,110.0,105.0,102.0,115.0,117.0,103.0,100.0,108.0,100.0,110.0,107.0,107.16666666666667
"Muscogee Creek Nation, OK",369.0,377.0,382.0,402.0,416.0,426.0,411.0,412.0,404.0,405.0,403.0,410.0,401.4166666666667
"Osage Tribal Council, OK",676.0,659.0,645.0,650.0,668.0,682.0,699.0,727.0,718.0,712.0,679.0,651.0,680.5
"Otoe-Missouria Tribe, OK",48.0,49.0,49.0,52.0,49.0,46.0,48.0,46.0,50.0,49.0,59.0,63.0,50.666666666666664
"Wichita, Caddo & Delaware (WCD), OK",830.0,833.0,831.0,837.0,827.0,821.0,834.0,837.0,861.0,852.0,839.0,799.0,833.4166666666666
Southwest Region,309179.0,310048.0,307019.0,310850.0,314489.0,322277.0,322746.0,328748.0,331454.0,330147.0,333527.0,328486.0,320747.5
Colorado,18602.0,18533.0,18587.0,18609.0,19012.0,19569.0,19437.0,19637.0,19916.0,19726.0,20148.0,20313.0,19340.75
Kansas,10226.0,10084.0,9894.0,10162.0,10094.0,10379.0,10199.0,10413.0,10471.0,10359.0,10640.0,10508.0,10285.75
Missouri,21478.0,21938.0,21609.0,21608.0,22123.0,22349.0,22271.0,22587.0,22650.0,22340.0,22964.0,22967.0,22240.333333333332
Montana,2816.0,2908.0,2916.0,2965.0,3003.0,3019.0,3009.0,3035.0,3010.0,2934.0,2983.0,2945.0,2961.9166666666665
Nebraska,7123.0,7257.0,7314.0,7319.0,7447.0,7571.0,7583.0,7698.0,7717.0,7594.0,7626.0,7565.0,7484.5
North Dakota,1979.0,1974.0,1919.0,1997.0,2002.0,2026.0,2021.0,2039.0,2093.0,2084.0,2122.0,2111.0,2030.5833333333333
South Dakota,2731.0,2698.0,2671.0,2778.0,2776.0,2865.0,2832.0,2885.0,2846.0,2822.0,2838.0,2807.0,2795.75
Wyoming,1601.0,1597.0,1610.0,1688.0,1666.0,1708.0,1701.0,1728.0,1745.0,1687.0,1726.0,1691.0,1679.0
"Ute Mountain Ute Tribe, CO",33.0,35.0,37.0,35.0,33.0,30.0,36.0,32.0,32.0,35.0,32.0,34.0,33.666666666666664
"Omaha Sioux, NE",36.0,40.0,35.0,35.0,33.0,35.0,37.0,38.0,41.0,40.0,38.0,36.0,37.0
"Santee Sioux, NE",4.0,5.0,6.0,6.0,8.0,8.0,8.0,10.0,8.0,12.0,9.0,9.0,7.75
"Winnebago Tribe, NE",24.0,25.0,23.0,24.0,22.0,23.0,27.0,29.0,30.0,28.0,30.0,31.0,26.333333333333332
"Standing Rock Sioux Tribe, ND",29.0,31.0,33.0,40.0,42.0,42.0,42.0,39.0,43.0,43.0,45.0,46.0,39.583333333333336
"Three Affiliated Tribes, ND",13.0,11.0,11.0,14.0,12.0,17.0,16.0,15.0,14.0,12.0,12.0,13.0,13.333333333333334
"Cheyenne River Sioux, SD",88.0,96.0,96.0,102.0,100.0,109.0,101.0,95.0,96.0,93.0,94.0,85.0,96.25
"Rosebud Sioux, SD",168.0,175.0,168.0,175.0,175.0,187.0,192.0,190.0,187.0,181.0,177.0,149.0,177.0
"Northern Arapahoe, WY",45.0,42.0,49.0,50.0,51.0,50.0,52.0,52.0,53.0,48.0,52.0,53.0,49.75
"Shoshone Tribe, WY",18.0,18.0,12.0,19.0,12.0,14.0,10.0,12.0,7.0,7.0,12.0,16.0,13.083333333333334
Mountain Plains,67014.0,67467.0,66990.0,67626.0,68611.0,70001.0,69574.0,70534.0,70959.0,70045.0,71548.0,71379.0,69312.33333333333
Alaska,2909.0,2905.0,2846.0,2889.0,2964.0,3008.0,3012.0,3048.0,3080.0,3115.0,3128.0,3083.0,2998.9166666666665
American Samoa,703.0,691.0,677.0,687.0,685.0,717.0,698.0,716.0,729.0,726.0,755.0,751.0,711.25
California,201655.0,199858.0,198472.0,201167.0,200275.0,205525.0,202919.0,205064.0,206484.0,205779.0,208203.0,206835.0,203519.66666666666
Guam,1114.0,1105.0,1112.0,1152.0,1171.0,1212.0,1199.0,1216.0,1171.0,1086.0,1125.0,1162.0,1152.0833333333333
Hawaii,5591.0,5656.0,5620.0,5682.0,5619.0,5725.0,5639.0,5722.0,5692.0,5654.0,5448.0,5314.0,5613.5
Idaho,6532.0,6571.0,6576.0,6655.0,6701.0,6835.0,6723.0,6733.0,6718.0,6751.0,6880.0,6889.0,6713.666666666667
Nevada,11462.0,11327.0,11195.0,11399.0,11417.0,11513.0,11412.0,11532.0,11585.0,11430.0,11743.0,11635.0,11470.833333333334
Oregon,15783.0,15776.0,15630.0,15929.0,15977.0,16336.0,16617.0,16895.0,16951.0,16891.0,17000.0,16771.0,16379.666666666666
Washington,27259.0,27094.0,26939.0,27484.0,27344.0,28028.0,27922.0,28411.0,28584.0,28323.0,28677.0,28363.0,27869.0
Northern Marianas,490.0,464.0,465.0,474.0,492.0,543.0,546.0,544.0,544.0,550.0,552.0,543.0,517.25
"Inter-Tribal Council, NV",94.0,99.0,101.0,102.0,96.0,88.0,83.0,69.0,72.0,66.0,66.0,66.0,83.5
Western Region,273592.0,271546.0,269633.0,273620.0,272741.0,279530.0,276770.0,279950.0,281610.0,280371.0,283577.0,281412.0,277029.3333333333
TOTAL,1446806.0,1444247.0,1435583.0,1458814.0,1467529.0,1506001.0,1499498.0,1520771.0,1524632.0,1513949.0,1517646.0,1503004.0,1486540.0
